,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score,ch_composite,ch_component
0,sp|Q8NHM5|KDM2B_HUMAN,sp|Q9Y2K7|KDM2A_HUMAN,19,687,F611,F605,1.00,11,12
71,sp|P0CB38|PAB4L_HUMAN,sp|Q9H361|PABP3_HUMAN,1,370,F5,F6,1.00,13,4
72,sp|Q96DU9|PABP5_HUMAN,sp|Q9H361|PABP3_HUMAN,8,369,F5,F6,1.00,13,x
73,sp|Q5JQF8|PAP1M_HUMAN,sp|Q9H361|PABP3_HUMAN,11,205,F53,F6,1.00,13,x
74,sp|O95071|UBR5_HUMAN,sp|Q9H361|PABP3_HUMAN,549,612,F2841,F6,1.00,13,8
75,sp|Q14692|BMS1_HUMAN,sp|Q5VTM2|AGAP9_HUMAN,18,106,F3136,F1078,1.00,10,10
76,sp|Q5VUJ5|AGAP7_HUMAN,sp|Q5VTM2|AGAP9_HUMAN,155,688,F1076,F1078,1.00,10,-1
77,sp|Q96P64|AGAP4_HUMAN,sp|Q5VTM2|AGAP9_HUMAN,155,688,F1076,F1078,1.00,10,10
78,sp|Q5VW22|AGAP6_HUMAN,sp|Q5VTM2|AGAP9_HUMAN,155,688,F1076,F1078,1.00,10,10
79,sp|A6NIR3|AGAP5_HUMAN,sp|Q5VTM2|AGAP9_HUMAN,155,688,F1076,F1078,1.00,10,10
80,sp|P49792|RBP2_HUMAN,sp|P0DJD0|RGPD1_HUMAN,18,885,F2825,F2236,1.00,2,2
81,sp|Q8IWJ2|GCC2_HUMAN,sp|P0DJD0|RGPD1_HUMAN,1615,1743,F967,F2236,1.00,2,2
82,sp|Q14568|HS902_HUMAN,sp|Q58FF7|H90B3_HUMAN,1,278,F4215,F4221,1.00,-1,-1
83,sp|Q58FG0|HS905_HUMAN,sp|Q58FF7|H90B3_HUMAN,349,455,F2831,F4221,1.00,-1,-1
84,sp|Q7Z2F6|ZN720_HUMAN,sp|A6NDX5|ZN840_HUMAN,41,101,F3231,F3474,1.00,-1,16
85,sp|O14771|ZN213_HUMAN,sp|A6NDX5|ZN840_HUMAN,302,440,F1988,F3474,1.00,-1,16
86,sp|Q9UNY5|ZN232_HUMAN,sp|A6NDX5|ZN840_HUMAN,373,529,F341,F3474,1.00,-1,17
87,sp|Q9NX65|ZSC32_HUMAN,sp|A6NDX5|ZN840_HUMAN,546,713,F1985,F3474,1.00,-1,16
88,sp|Q8N7R7|CCYL1_HUMAN,sp|Q96P64|AGAP4_HUMAN,1,169,F4492,F1076,1.00,10,2
89,sp|Q5T2Q4|CCYL2_HUMAN,sp|Q96P64|AGAP4_HUMAN,1,173,F4492,F1076,1.00,10,-1
90,sp|Q96P47|AGAP3_HUMAN,sp|Q96P64|AGAP4_HUMAN,356,659,F1074,F1076,1.00,10,7
91,sp|Q9UPQ3|AGAP1_HUMAN,sp|Q96P64|AGAP4_HUMAN,345,661,F1074,F1076,1.00,10,2
92,sp|Q5JUW0|KRBX4_HUMAN,sp|P0CH99|Z705D_HUMAN,3,66,F3503,F2097,1.00,8,x
93,sp|C9JBD0|KRBX1_HUMAN,sp|P0CH99|Z705D_HUMAN,5,64,F3228,F2097,1.00,8,3
94,sp|Q7Z2F6|ZN720_HUMAN,sp|P0CH99|Z705D_HUMAN,7,66,F3231,F2097,1.00,8,16
95,sp|Q8NE65|ZN738_HUMAN,sp|P0CH99|Z705D_HUMAN,7,70,F3504,F2097,1.00,8,19
96,sp|Q6ZT77|ZN826_HUMAN,sp|P0CH99|Z705D_HUMAN,189,254,F2062,F2097,1.00,8,-1
97,sp|A6NI73|LIRA5_HUMAN,sp|Q8NHL6|LIRB1_HUMAN,1,227,F4091,F990,0.00,19,19
98,sp|Q8NHJ6|LIRB4_HUMAN,sp|Q8NHL6|LIRB1_HUMAN,225,650,F2832,F990,0.00,19,19
99,sp|Q5JUW0|KRBX4_HUMAN,sp|A8MVS1|Z705F_HUMAN,3,66,F3503,F2097,1.00,-1,x
100,sp|C9JBD0|KRBX1_HUMAN,sp|A8MVS1|Z705F_HUMAN,5,64,F3228,F2097,1.00,-1,3
101,sp|Q7Z2F6|ZN720_HUMAN,sp|A8MVS1|Z705F_HUMAN,7,66,F3231,F2097,1.00,-1,16
102,sp|Q8NE65|ZN738_HUMAN,sp|A8MVS1|Z705F_HUMAN,7,70,F3504,F2097,1.00,-1,19
103,sp|Q9NX65|ZSC32_HUMAN,sp|A8MVS1|Z705F_HUMAN,170,297,F1985,F2097,1.00,-1,16
104,sp|Q5JUW0|KRBX4_HUMAN,sp|A8MWA4|Z705E_HUMAN,3,66,F3503,F2097,1.00,11,x
105,sp|C9JBD0|KRBX1_HUMAN,sp|A8MWA4|Z705E_HUMAN,7,64,F3228,F2097,1.00,11,3
106,sp|Q7Z2F6|ZN720_HUMAN,sp|A8MWA4|Z705E_HUMAN,7,66,F3231,F2097,1.00,11,16
107,sp|Q9H4T2|ZSC16_HUMAN,sp|A8MWA4|Z705E_HUMAN,198,299,F341,F2097,1.00,11,6
108,sp|A0PJZ0|A20A5_HUMAN,sp|Q5SQ80|A20A2_HUMAN,1,164,F717,F720,1.00,9,-1
109,sp|Q9H560|ANR19_HUMAN,sp|Q5SQ80|A20A2_HUMAN,2,260,F713,F720,1.00,9,-1
110,sp|Q8IVF6|AN18A_HUMAN,sp|Q5SQ80|A20A2_HUMAN,2,260,F1119,F720,1.00,9,9
111,sp|A2A2Z9|AN18B_HUMAN,sp|Q5SQ80|A20A2_HUMAN,2,260,F1119,F720,1.00,9,9
112,sp|A7E2S9|A30BL_HUMAN,sp|Q5SQ80|A20A2_HUMAN,21,199,F1126,F720,1.00,9,2
113,sp|A6NC57|ANR62_HUMAN,sp|Q5SQ80|A20A2_HUMAN,22,255,F1117,F720,1.00,9,18
114,sp|Q8N2N9|AN36B_HUMAN,sp|Q5SQ80|A20A2_HUMAN,27,257,F723,F720,1.00,9,2
115,sp|Q8NF67|A2012_HUMAN,sp|Q5SQ80|A20A2_HUMAN,709,812,F1528,F720,1.00,9,-1
116,sp|Q6S8J7|POTEA_HUMAN,sp|Q8N2N9|AN36B_HUMAN,8,254,F696,F723,1.00,2,-1
117,sp|Q6NSI1|AR26L_HUMAN,sp|Q8N2N9|AN36B_HUMAN,9,181,F1123,F723,1.00,2,-1
118,sp|Q9H560|ANR19_HUMAN,sp|Q8N2N9|AN36B_HUMAN,14,243,F713,F723,1.00,2,-1
119,sp|Q4UJ75|A20A4_HUMAN,sp|Q8N2N9|AN36B_HUMAN,14,243,F720,F723,1.00,2,9
120,sp|Q5TYW2|A20A1_HUMAN,sp|Q8N2N9|AN36B_HUMAN,14,243,F720,F723,1.00,2,9
121,sp|Q5VUR7|A20A3_HUMAN,sp|Q8N2N9|AN36B_HUMAN,14,243,F720,F723,1.00,2,9
122,sp|Q5SQ80|A20A2_HUMAN,sp|Q8N2N9|AN36B_HUMAN,14,243,F720,F723,1.00,2,9
123,sp|Q5CZ79|AN20B_HUMAN,sp|Q8N2N9|AN36B_HUMAN,14,243,F720,F723,1.00,2,-1
124,sp|A7E2S9|A30BL_HUMAN,sp|Q8N2N9|AN36B_HUMAN,14,182,F1126,F723,1.00,2,2
125,sp|Q5JPF3|AN36C_HUMAN,sp|Q8N2N9|AN36B_HUMAN,255,1353,F726,F723,1.00,2,2
126,sp|Q13401|PM2P3_HUMAN,sp|B1APH4|ZN487_HUMAN,35,105,F3232,F3230,1.00,10,-1
127,sp|A8MT65|ZN891_HUMAN,sp|B1APH4|ZN487_HUMAN,265,387,F2022,F3230,1.00,10,12
128,sp|Q9UPS8|ANR26_HUMAN,sp|Q86YR6|POTED_HUMAN,91,303,F721,F695,1.00,21,10
129,sp|Q6NSI1|AR26L_HUMAN,sp|Q86YR6|POTED_HUMAN,108,301,F1123,F695,1.00,21,-1
130,sp|A2RUR9|C144A_HUMAN,sp|Q86YR6|POTED_HUMAN,472,582,F1529,F695,1.00,21,17
131,sp|Q9UPS8|ANR26_HUMAN,sp|A0A0A6YYL3|POTEB_HUMAN,54,266,F721,F696,1.00,15,10
132,sp|Q6NSI1|AR26L_HUMAN,sp|A0A0A6YYL3|POTEB_HUMAN,71,264,F1123,F696,1.00,15,-1
133,sp|A2RUR9|C144A_HUMAN,sp|A0A0A6YYL3|POTEB_HUMAN,435,542,F1529,F696,1.00,15,17
134,sp|Q8NEK5|ZN548_HUMAN,sp|O43361|ZN749_HUMAN,1,535,F1381,F1380,1.00,19,19
135,sp|Q9UDV7|ZN282_HUMAN,sp|O43361|ZN749_HUMAN,293,434,F1977,F1380,1.00,19,7
136,sp|Q6ZRF7|ZN818_HUMAN,sp|O43361|ZN749_HUMAN,303,351,F2059,F1380,1.00,19,-1
137,sp|Q9H4T2|ZSC16_HUMAN,sp|O43361|ZN749_HUMAN,554,668,F341,F1380,1.00,19,6
138,sp|Q9UNY5|ZN232_HUMAN,sp|O43361|ZN749_HUMAN,313,461,F341,F1380,1.00,19,17
139,sp|Q96LW9|ZSC31_HUMAN,sp|O43361|ZN749_HUMAN,300,461,F341,F1380,1.00,19,6
140,sp|Q3MJ62|ZSC23_HUMAN,sp|O43361|ZN749_HUMAN,297,432,F341,F1380,1.00,19,6
141,sp|Q15697|ZN174_HUMAN,sp|O43361|ZN749_HUMAN,314,406,F2123,F1380,1.00,19,16
142,sp|O14771|ZN213_HUMAN,sp|O43361|ZN749_HUMAN,321,461,F1988,F1380,1.00,19,16
143,sp|Q8N8Y5|ZFP41_HUMAN,sp|O43361|ZN749_HUMAN,354,460,F2028,F1380,1.00,19,8
144,sp|P17026|ZNF22_HUMAN,sp|O43361|ZN749_HUMAN,548,695,F2075,F1380,1.00,19,10
145,sp|Q08AH1|ACSM1_HUMAN,sp|E9PJ23|NPIB6_HUMAN,1,41,F1406,F2492,1.00,16,16
146,sp|E9PIF3|NPIA2_HUMAN,sp|E9PJ23|NPIB6_HUMAN,1,346,F2493,F2492,1.00,16,16
147,sp|E9PKD4|NPIA5_HUMAN,sp|E9PJ23|NPIB6_HUMAN,41,346,F2493,F2492,1.00,16,16
148,sp|Q9UND3|NPIA1_HUMAN,sp|E9PJ23|NPIB6_HUMAN,41,346,F2493,F2492,1.00,16,16
149,sp|E9PJI5|NPIA7_HUMAN,sp|E9PJ23|NPIB6_HUMAN,41,346,F2493,F2492,1.00,16,16
150,sp|P0DM63|NPIA8_HUMAN,sp|E9PJ23|NPIB6_HUMAN,41,346,F2493,F2492,1.00,16,16
151,sp|F8WFD2|NPIA3_HUMAN,sp|E9PJ23|NPIB6_HUMAN,41,346,F2493,F2492,1.00,16,16
152,sp|Q9BV97|ZN747_HUMAN,sp|Q8IVC4|ZN584_HUMAN,15,61,F3227,F2137,1.00,19,16
153,sp|Q7Z2F6|ZN720_HUMAN,sp|Q8IVC4|ZN584_HUMAN,15,76,F3231,F2137,1.00,19,16
154,sp|P17021|ZNF17_HUMAN,sp|Q8IVC4|ZN584_HUMAN,113,408,F1380,F2137,1.00,19,19
155,sp|Q5EBM4|ZN542_HUMAN,sp|Q8IVC4|ZN584_HUMAN,212,280,F3478,F2137,1.00,19,-1
156,sp|P17022|ZNF18_HUMAN,sp|Q8IVC4|ZN584_HUMAN,272,404,F1951,F2137,1.00,19,17
157,sp|Q4UJ75|A20A4_HUMAN,sp|Q6S8J7|POTEA_HUMAN,51,287,F720,F696,1.00,-1,9
158,sp|Q5CZ79|AN20B_HUMAN,sp|Q6S8J7|POTEA_HUMAN,51,288,F720,F696,1.00,-1,-1
159,sp|Q8N2N9|AN36B_HUMAN,sp|Q6S8J7|POTEA_HUMAN,53,301,F723,F696,1.00,-1,2
160,sp|A7E2S9|A30BL_HUMAN,sp|Q6S8J7|POTEA_HUMAN,59,230,F1126,F696,1.00,-1,2
161,sp|Q9BXX2|AN30B_HUMAN,sp|Q6S8J7|POTEA_HUMAN,65,302,F964,F696,1.00,-1,18
162,sp|Q3MJ40|C144B_HUMAN,sp|Q6S8J7|POTEA_HUMAN,314,497,F1572,F696,1.00,-1,-1
163,sp|Q6ZRF7|ZN818_HUMAN,sp|Q96EG3|ZN837_HUMAN,276,324,F2059,F2042,1.00,19,-1
164,sp|O60304|ZN500_HUMAN,sp|Q96EG3|ZN837_HUMAN,353,499,F2043,F2042,1.00,19,16
165,sp|Q9UIH9|KLF15_HUMAN,sp|Q96EG3|ZN837_HUMAN,368,441,F3477,F2042,1.00,19,3
166,sp|P17028|ZNF24_HUMAN,sp|Q96EG3|ZN837_HUMAN,410,527,F342,F2042,1.00,19,18
167,sp|Q96N95|ZN396_HUMAN,sp|Q96EG3|ZN837_HUMAN,449,531,F342,F2042,1.00,19,18
168,sp|Q9UBX0|HESX1_HUMAN,sp|Q6RFH8|DUX4C_HUMAN,18,79,F2427,F2426,1.00,-1,3
169,sp|Q96IS3|RAX2_HUMAN,sp|Q6RFH8|DUX4C_HUMAN,86,148,F2317,F2426,1.00,-1,19
170,sp|Q9UBX0|HESX1_HUMAN,sp|P0CJ88|DU4L5_HUMAN,18,79,F2427,F2426,1.00,-1,3
171,sp|O75360|PROP1_HUMAN,sp|P0CJ88|DU4L5_HUMAN,87,148,F2392,F2426,1.00,-1,5
172,sp|Q9BV97|ZN747_HUMAN,sp|A8K8V0|ZN785_HUMAN,1,116,F3227,F2148,1.00,16,16
173,sp|C9JBD0|KRBX1_HUMAN,sp|A8K8V0|ZN785_HUMAN,28,82,F3228,F2148,1.00,16,3
174,sp|Q9UJW8|ZN180_HUMAN,sp|A8K8V0|ZN785_HUMAN,165,362,F2130,F2148,1.00,16,19
175,sp|A6NEF3|GG6L4_HUMAN,sp|Q0D2H9|GOG8D_HUMAN,25,139,F4004,F1227,0.00,-1,15
176,sp|P0CG33|GOG6D_HUMAN,sp|Q0D2H9|GOG8D_HUMAN,134,403,F2322,F1227,0.00,-1,15
177,sp|A6NDK9|GOG6C_HUMAN,sp|Q0D2H9|GOG8D_HUMAN,134,403,F2322,F1227,0.00,-1,15
178,sp|Q9NYA3|GOG6A_HUMAN,sp|Q0D2H9|GOG8D_HUMAN,134,403,F2322,F1227,0.00,-1,15
179,sp|Q96JS3|PGBD1_HUMAN,sp|Q96SZ4|ZSC10_HUMAN,2,75,F1870,F2026,1.00,16,6
180,sp|Q6R2W3|SCND3_HUMAN,sp|Q96SZ4|ZSC10_HUMAN,2,70,F1929,F2026,1.00,16,6
181,sp|Q9NWS9|ZN446_HUMAN,sp|Q96SZ4|ZSC10_HUMAN,2,73,F2154,F2026,1.00,16,19
182,sp|Q3SY52|ZIK1_HUMAN,sp|Q96SZ4|ZSC10_HUMAN,459,719,F1383,F2026,1.00,16,19
183,sp|Q7RTV3|ZN367_HUMAN,sp|Q96SZ4|ZSC10_HUMAN,469,529,F3375,F2026,1.00,16,9
184,sp|Q6ZRF7|ZN818_HUMAN,sp|Q96SZ4|ZSC10_HUMAN,472,520,F2059,F2026,1.00,16,-1
185,sp|O14771|ZN213_HUMAN,sp|Q96SZ4|ZSC10_HUMAN,515,662,F1988,F2026,1.00,16,16
186,sp|P61578|REC16_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
187,sp|P61576|REC04_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
188,sp|P61579|ERK25_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
189,sp|Q69383|REC6_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
190,sp|P61572|REC19_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
191,sp|P61573|REC9_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
192,sp|P61574|RE113_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
193,sp|P61575|RECK8_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
194,sp|P61571|REC21_HUMAN,sp|O71037|ENK19_HUMAN,1,87,F4128,F3341,1.00,-1,-1
195,sp|P61566|ENK24_HUMAN,sp|O71037|ENK19_HUMAN,112,699,F3340,F3341,1.00,-1,-1
196,sp|P61570|ENK25_HUMAN,sp|O71037|ENK19_HUMAN,1,661,F3340,F3341,1.00,-1,-1
197,sp|P61567|ENK7_HUMAN,sp|O71037|ENK19_HUMAN,112,699,F3340,F3341,1.00,-1,-1
198,sp|O42043|ENK18_HUMAN,sp|O71037|ENK19_HUMAN,112,666,F3340,F3341,1.00,-1,-1
199,sp|P10266|POK10_HUMAN,sp|O71037|ENK19_HUMAN,112,254,F3565,F3341,1.00,-1,-1
200,sp|Q9UQG0|POK11_HUMAN,sp|O71037|ENK19_HUMAN,112,209,F3565,F3341,1.00,-1,-1
201,sp|Q9NX77|ENK13_HUMAN,sp|O71037|ENK19_HUMAN,221,642,F500,F3341,1.00,-1,-1
202,sp|P61578|REC16_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
203,sp|P61576|REC04_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
204,sp|P61579|ERK25_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
205,sp|Q69383|REC6_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
206,sp|P61572|REC19_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
207,sp|P61573|REC9_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
208,sp|P61574|RE113_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
209,sp|P61575|RECK8_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
210,sp|P61571|REC21_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,87,F4128,F3341,1.00,-1,-1
211,sp|P61566|ENK24_HUMAN,sp|Q9UKH3|ENK9_HUMAN,112,698,F3340,F3341,1.00,-1,-1
212,sp|P61570|ENK25_HUMAN,sp|Q9UKH3|ENK9_HUMAN,1,660,F3340,F3341,1.00,-1,-1
213,sp|P61567|ENK7_HUMAN,sp|Q9UKH3|ENK9_HUMAN,112,698,F3340,F3341,1.00,-1,-1
214,sp|O42043|ENK18_HUMAN,sp|Q9UKH3|ENK9_HUMAN,112,665,F3340,F3341,1.00,-1,-1
215,sp|P10266|POK10_HUMAN,sp|Q9UKH3|ENK9_HUMAN,112,253,F3565,F3341,1.00,-1,-1
