,component,composite,composite_start,composite_end,component_fam,composite_fam,no_overlap_score,ch_composite,ch_component
2714,sp|Q9H8G1|ZN430_HUMAN,sp|Q15973|ZN124_HUMAN,58,350,F344,F349,1.00,1,19
2715,sp|P35789|ZNF93_HUMAN,sp|Q15973|ZN124_HUMAN,62,348,F344,F349,1.00,1,19
2716,sp|Q8N7Q3|ZN676_HUMAN,sp|Q15973|ZN124_HUMAN,65,348,F344,F349,1.00,1,19
2717,sp|Q68DY1|ZN626_HUMAN,sp|Q15973|ZN124_HUMAN,65,348,F344,F349,1.00,1,19
2718,sp|P0DKX0|ZN728_HUMAN,sp|Q15973|ZN124_HUMAN,65,348,F344,F349,1.00,1,19
2719,sp|P0DPD5|ZN723_HUMAN,sp|Q15973|ZN124_HUMAN,58,350,F344,F349,1.00,1,19
2720,sp|Q96N22|ZN681_HUMAN,sp|Q15973|ZN124_HUMAN,65,350,F344,F349,1.00,1,19
2721,sp|Q96JC4|ZN479_HUMAN,sp|Q15973|ZN124_HUMAN,68,349,F344,F349,1.00,1,7
2722,sp|A8MTY0|ZN724_HUMAN,sp|Q15973|ZN124_HUMAN,65,349,F344,F349,1.00,1,19
2723,sp|Q8TD23|ZN675_HUMAN,sp|Q15973|ZN124_HUMAN,45,350,F344,F349,1.00,1,19
2724,sp|Q14593|ZN273_HUMAN,sp|Q15973|ZN124_HUMAN,67,350,F344,F349,1.00,1,7
2725,sp|O75346|ZN253_HUMAN,sp|Q15973|ZN124_HUMAN,65,350,F344,F349,1.00,1,19
2726,sp|Q8TF32|ZN431_HUMAN,sp|Q15973|ZN124_HUMAN,65,350,F344,F349,1.00,1,19
2727,sp|Q5SXM1|ZN678_HUMAN,sp|Q15973|ZN124_HUMAN,78,349,F344,F349,1.00,1,1
2728,sp|Q15929|ZNF56_HUMAN,sp|Q15973|ZN124_HUMAN,109,243,F2029,F349,1.00,1,-1
2729,sp|P17026|ZNF22_HUMAN,sp|Q15973|ZN124_HUMAN,122,277,F2075,F349,1.00,1,10
2730,sp|Q02446|SP4_HUMAN,sp|Q15973|ZN124_HUMAN,127,204,F3363,F349,1.00,1,7
2731,sp|A0A0U1RQI7|KLF18_HUMAN,sp|Q15973|ZN124_HUMAN,137,200,F3486,F349,1.00,1,1
2732,sp|Q15697|ZN174_HUMAN,sp|Q15973|ZN124_HUMAN,140,231,F2123,F349,1.00,1,16
2733,sp|P0CG23|ZN853_HUMAN,sp|Q15973|ZN124_HUMAN,142,282,F2105,F349,1.00,1,7
2734,sp|Q05215|EGR4_HUMAN,sp|Q15973|ZN124_HUMAN,161,232,F1434,F349,1.00,1,2
2735,sp|O43474|KLF4_HUMAN,sp|Q15973|ZN124_HUMAN,183,256,F1885,F349,1.00,1,9
2736,sp|Q9Y5W3|KLF2_HUMAN,sp|Q15973|ZN124_HUMAN,183,256,F2146,F349,1.00,1,19
2737,sp|Q02447|SP3_HUMAN,sp|Q15973|ZN124_HUMAN,183,256,F3360,F349,1.00,1,2
2738,sp|P08047|SP1_HUMAN,sp|Q15973|ZN124_HUMAN,183,256,F3365,F349,1.00,1,12
2739,sp|Q13351|KLF1_HUMAN,sp|Q15973|ZN124_HUMAN,183,256,F3480,F349,1.00,1,19
2740,sp|Q02086|SP2_HUMAN,sp|Q15973|ZN124_HUMAN,267,340,F2475,F349,1.00,1,17
3572,sp|Q8TD94|KLF14_HUMAN,sp|Q5T619|ZN648_HUMAN,275,355,F3490,F1952,1.00,1,7
3573,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q5T619|ZN648_HUMAN,390,502,F2028,F1952,1.00,1,8
3780,sp|P55771|PAX9_HUMAN,sp|P23759|PAX7_HUMAN,36,174,F4204,F2415,1.00,1,14
3781,sp|P15863|PAX1_HUMAN,sp|P23759|PAX7_HUMAN,36,176,F4205,F2415,1.00,1,20
3782,sp|Q96QS3|ARX_HUMAN,sp|P23759|PAX7_HUMAN,189,279,F2377,F2415,1.00,1,x
3783,sp|Q96N95|ZN396_HUMAN,sp|Q499Z4|ZN672_HUMAN,193,277,F342,F2125,0.00,1,18
3784,sp|Q8NDX6|ZN740_HUMAN,sp|Q499Z4|ZN672_HUMAN,203,279,F3476,F2125,0.00,1,12
3785,sp|Q13887|KLF5_HUMAN,sp|Q499Z4|ZN672_HUMAN,204,279,F3372,F2125,0.00,1,13
3786,sp|Q8N8Y5|ZFP41_HUMAN,sp|Q499Z4|ZN672_HUMAN,278,394,F2028,F2125,0.00,1,8
3875,sp|Q5JUW0|KRBX4_HUMAN,sp|Q96BR6|ZN669_HUMAN,87,130,F3503,F1979,1.00,1,x
3876,sp|Q6ZQV5|ZN788_HUMAN,sp|Q96BR6|ZN669_HUMAN,88,139,F3229,F1979,1.00,1,-1
3877,sp|Q96I27|ZN625_HUMAN,sp|Q96BR6|ZN669_HUMAN,153,464,F2138,F1979,1.00,1,19
3878,sp|Q9H963|ZN702_HUMAN,sp|Q96BR6|ZN669_HUMAN,219,344,F1954,F1979,1.00,1,-1
3879,sp|Q6ZT77|ZN826_HUMAN,sp|Q96BR6|ZN669_HUMAN,257,333,F2062,F1979,1.00,1,-1
3880,sp|P17028|ZNF24_HUMAN,sp|Q96BR6|ZN669_HUMAN,326,443,F342,F1979,1.00,1,18
5451,sp|Q8IVE0|CROL2_HUMAN,sp|Q5TZA2|CROCC_HUMAN,538,715,F3846,F2269,0.00,1,-1
5452,sp|Q86T23|CROL1_HUMAN,sp|Q5TZA2|CROCC_HUMAN,698,808,F4875,F2269,0.00,1,-1
5468,sp|Q09013|DMPK_HUMAN,sp|Q5VT25|MRCKA_HUMAN,1,543,F304,F308,0.00,1,19
5469,sp|Q9H521|YM006_HUMAN,sp|Q5VT25|MRCKA_HUMAN,542,620,F4981,F308,0.00,1,-1
5472,sp|Q02985|FHR3_HUMAN,sp|P08603|CFAH_HUMAN,312,601,F1022,F1016,1.00,1,1
5473,sp|Q03591|FHR1_HUMAN,sp|P08603|CFAH_HUMAN,935,1231,F1020,F1016,1.00,1,1
6361,sp|Q13401|PM2P3_HUMAN,sp|Q5T5D7|ZN684_HUMAN,1,80,F3232,F2058,1.00,1,-1
6362,sp|C9JBD0|KRBX1_HUMAN,sp|Q5T5D7|ZN684_HUMAN,5,65,F3228,F2058,1.00,1,3
6363,sp|Q5TYW1|ZN658_HUMAN,sp|Q5T5D7|ZN684_HUMAN,99,378,F2147,F2058,1.00,1,9
6364,sp|A6NGD5|ZSA5C_HUMAN,sp|Q5T5D7|ZN684_HUMAN,186,321,F1953,F2058,1.00,1,19
6365,sp|Q6ZRF7|ZN818_HUMAN,sp|Q5T5D7|ZN684_HUMAN,303,352,F2059,F2058,1.00,1,-1
