,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
10,GO:MF,GO:0043169,cation binding,9.480882468208813e-129,True,"""Interacting selectively and non-covalently with cations, charged atoms or groups of atoms with a net positive charge."" [GOC:jl]",4316,448,348,18134,0.7767857142857143,0.08063021316033364,query_1,['GO:0043167']
11,GO:BP,GO:2000112,regulation of cellular macromolecule biosynthetic process,3.1676124207426533e-128,True,"""Any process that modulates the frequency, rate or extent of cellular macromolecule biosynthetic process."" [GOC:obol]",3970,432,331,17916,0.7662037037037037,0.08337531486146096,query_1,"['GO:0010556', 'GO:0031326', 'GO:0034645']"
12,GO:BP,GO:0019219,regulation of nucleobase-containing compound metabolic process,3.6570045376703135e-126,True,"""Any cellular process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",4062,432,332,17916,0.7685185185185185,0.08173313638601674,query_1,"['GO:0006139', 'GO:0031323', 'GO:0051171', 'GO:0080090']"
13,GO:MF,GO:0003676,nucleic acid binding,8.158115470261144e-125,True,"""Interacting selectively and non-covalently with any nucleic acid."" [GOC:jl]",4338,448,345,18134,0.7700892857142857,0.07952973720608575,query_1,"['GO:0097159', 'GO:1901363']"
14,GO:BP,GO:0010556,regulation of macromolecule biosynthetic process,1.108897222430492e-123,True,"""Any process that modulates the rate, frequency or extent of the chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",4136,432,332,17916,0.7685185185185185,0.08027079303675048,query_1,"['GO:0009059', 'GO:0009889', 'GO:0060255']"
15,GO:BP,GO:0031326,regulation of cellular biosynthetic process,1.0352821239223889e-118,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:mah]",4289,432,332,17916,0.7685185185185185,0.07740732105385871,query_1,"['GO:0009889', 'GO:0031323', 'GO:0044249']"
16,GO:BP,GO:0034654,nucleobase-containing compound biosynthetic process,1.4517846107819548e-117,True,"""The chemical reactions and pathways resulting in the formation of nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:mah]",4161,432,327,17916,0.7569444444444444,0.07858687815428983,query_1,"['GO:0006139', 'GO:0018130', 'GO:0019438', 'GO:0044271', 'GO:1901362']"
17,GO:BP,GO:0009889,regulation of biosynthetic process,4.082016492529872e-117,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of substances."" [GOC:go_curators]",4373,432,333,17916,0.7708333333333334,0.07614909672993368,query_1,"['GO:0009058', 'GO:0019222']"
18,GO:BP,GO:0018130,heterocycle biosynthetic process,1.7281838109567345e-115,True,"""The chemical reactions and pathways resulting in the formation of heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198547684]",4226,432,327,17916,0.7569444444444444,0.07737813535257927,query_1,"['GO:0044249', 'GO:0046483']"
19,GO:BP,GO:0019438,aromatic compound biosynthetic process,3.3267194940903044e-115,True,"""The chemical reactions and pathways resulting in the formation of aromatic compounds, any substance containing an aromatic carbon ring."" [GOC:ai]",4235,432,327,17916,0.7569444444444444,0.07721369539551358,query_1,"['GO:0006725', 'GO:0044249']"
20,GO:BP,GO:1901362,organic cyclic compound biosynthetic process,1.779744375320978e-110,True,"""The chemical reactions and pathways resulting in the formation of organic cyclic compound."" [GOC:TermGenie]",4388,432,327,17916,0.7569444444444444,0.07452142206016409,query_1,"['GO:1901360', 'GO:1901576']"
21,GO:BP,GO:0010468,regulation of gene expression,5.381706619293271e-106,True,"""Any process that modulates the frequency, rate or extent of gene expression. Gene expression is the process in which a gene's coding sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."" [GOC:dph, GOC:tb]",5035,432,341,17916,0.7893518518518519,0.06772591857000992,query_1,"['GO:0010467', 'GO:0060255']"
22,GO:BP,GO:0016070,RNA metabolic process,1.0958299447006393e-105,True,"""The cellular chemical reactions and pathways involving RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."" [ISBN:0198506732]",4653,432,330,17916,0.7638888888888888,0.07092198581560284,query_1,['GO:0090304']
23,GO:BP,GO:0034645,cellular macromolecule biosynthetic process,1.6575234803713783e-102,True,"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, carried out by individual cells."" [GOC:mah]",4944,432,335,17916,0.7754629629629629,0.06775889967637541,query_1,"['GO:0009059', 'GO:0044249', 'GO:0044260']"
24,GO:BP,GO:0044271,cellular nitrogen compound biosynthetic process,1.591057990620962e-100,True,"""The chemical reactions and pathways resulting in the formation of organic and inorganic nitrogenous compounds."" [GOC:jl, ISBN:0198506732]",4945,432,333,17916,0.7708333333333334,0.0673407482305359,query_1,"['GO:0034641', 'GO:0044249']"
25,GO:BP,GO:0009059,macromolecule biosynthetic process,8.383161982584732e-100,True,"""The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",5118,432,337,17916,0.7800925925925926,0.06584603360687769,query_1,"['GO:0043170', 'GO:1901576']"
26,GO:BP,GO:0090304,nucleic acid metabolic process,4.6866203442628555e-95,True,"""Any cellular metabolic process involving nucleic acids."" [GOC:dph, GOC:tb]",5153,432,333,17916,0.7708333333333334,0.06462254997089074,query_1,"['GO:0006139', 'GO:0043170']"
27,GO:MF,GO:0043167,ion binding,3.2837477551557553e-90,True,"""Interacting selectively and non-covalently with ions, charged atoms or groups of atoms."" [GOC:jl]",6310,448,364,18134,0.8125,0.05768621236133122,query_1,['GO:0005488']
28,GO:MF,GO:1901363,heterocyclic compound binding,1.9729977605310508e-87,True,"""Interacting selectively and non-covalently with heterocyclic compound."" [GOC:TermGenie]",6270,448,360,18134,0.8035714285714286,0.05741626794258373,query_1,['GO:0005488']
29,GO:BP,GO:0051171,regulation of nitrogen compound metabolic process,5.953142342415662e-86,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving nitrogen or nitrogenous compounds."" [GOC:ai, GOC:tb]",5997,432,345,17916,0.7986111111111112,0.057528764382191094,query_1,"['GO:0006807', 'GO:0019222']"
30,GO:MF,GO:0097159,organic cyclic compound binding,1.54223699372832e-85,True,"""Interacting selectively and non-covalently with an organic cyclic compound, any molecular entity that contains carbon arranged in a cyclic molecular structure."" [GOC:sjw, PMID:7583672]",6355,448,360,18134,0.8035714285714286,0.05664830841856806,query_1,['GO:0005488']
31,GO:BP,GO:0010467,gene expression,4.894751970396748e-85,True,"""The process in which a gene's sequence is converted into a mature gene product or products (proteins or RNA). This includes the production of an RNA transcript as well as any processing to produce a mature RNA product or an mRNA or circRNA (for protein-coding genes) and the translation of that mRNA or circRNA into protein. Protein maturation is included when required to form an active form of a product from an inactive precursor form."" [GOC:dph, GOC:tb]",5997,432,344,17916,0.7962962962962963,0.057362014340503586,query_1,['GO:0043170']
32,GO:BP,GO:0006139,nucleobase-containing compound metabolic process,6.486176086161166e-85,True,"""Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:ai]",5684,432,336,17916,0.7777777777777778,0.059113300492610835,query_1,"['GO:0006725', 'GO:0034641', 'GO:0044238', 'GO:0046483', 'GO:1901360']"
33,GO:BP,GO:0080090,regulation of primary metabolic process,6.7129617150538e-82,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [PMID:19211694]",6180,432,345,17916,0.7986111111111112,0.055825242718446605,query_1,"['GO:0019222', 'GO:0044238']"
34,GO:BP,GO:0046483,heterocycle metabolic process,8.143602142338038e-82,True,"""The chemical reactions and pathways involving heterocyclic compounds, those with a cyclic molecular structure and at least two different atoms in the ring (or rings)."" [ISBN:0198506732]",5860,432,337,17916,0.7800925925925926,0.05750853242320819,query_1,['GO:0044237']
35,GO:BP,GO:0006725,cellular aromatic compound metabolic process,8.119987968690183e-81,True,"""The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells."" [GOC:ai, ISBN:0198506732]",5905,432,337,17916,0.7800925925925926,0.05707027942421677,query_1,['GO:0044237']
36,GO:BP,GO:0031323,regulation of cellular metabolic process,1.6266766840744482e-77,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:mah]",6386,432,345,17916,0.7986111111111112,0.05402442843720639,query_1,"['GO:0019222', 'GO:0044237', 'GO:0050794']"
37,GO:BP,GO:0044249,cellular biosynthetic process,3.176169670256284e-77,True,"""The chemical reactions and pathways resulting in the formation of substances, carried out by individual cells."" [GOC:jl]",6111,432,338,17916,0.7824074074074074,0.05531009654720995,query_1,"['GO:0009058', 'GO:0044237']"
38,GO:BP,GO:1901576,organic substance biosynthetic process,1.53183776371713e-76,True,"""The chemical reactions and pathways resulting in the formation of an organic substance, any molecular entity containing carbon."" [GOC:pr, GOC:TermGenie]",6225,432,340,17916,0.7870370370370371,0.05461847389558233,query_1,"['GO:0009058', 'GO:0071704']"
39,GO:BP,GO:0060255,regulation of macromolecule metabolic process,1.743956948889067e-76,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:dph, GOC:tb]",6649,432,350,17916,0.8101851851851852,0.05263949466085126,query_1,"['GO:0019222', 'GO:0043170']"
40,GO:BP,GO:1901360,organic cyclic compound metabolic process,8.519186368161977e-76,True,"""The chemical reactions and pathways involving organic cyclic compound."" [GOC:TermGenie]",6138,432,337,17916,0.7800925925925926,0.05490387748452265,query_1,['GO:0071704']
41,GO:BP,GO:0009058,biosynthetic process,7.779542804104244e-75,True,"""The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."" [GOC:curators, ISBN:0198547684]",6307,432,340,17916,0.7870370370370371,0.05390835579514825,query_1,['GO:0008152']
42,GO:CC,GO:0005634,nucleus,7.259476813831693e-73,True,"""A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."" [GOC:go_curators]",7494,452,368,18856,0.8141592920353983,0.049105951427808915,query_1,['GO:0043231']
43,GO:BP,GO:0034641,cellular nitrogen compound metabolic process,1.1435774481912708e-71,True,"""The chemical reactions and pathways involving various organic and inorganic nitrogenous compounds, as carried out by individual cells."" [GOC:mah]",6463,432,340,17916,0.7870370370370371,0.05260714838310382,query_1,"['GO:0006807', 'GO:0044237']"
44,GO:BP,GO:0019222,regulation of metabolic process,2.6142219103962127e-66,True,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."" [GOC:go_curators]",7175,432,350,17916,0.8101851851851852,0.04878048780487805,query_1,"['GO:0008152', 'GO:0050789']"
45,GO:BP,GO:0044260,cellular macromolecule metabolic process,9.927023932523926e-56,True,"""The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass, as carried out by individual cells."" [GOC:mah]",8402,432,363,17916,0.8402777777777778,0.04320399904784575,query_1,"['GO:0043170', 'GO:0044237']"
46,GO:MF,GO:0003700,DNA-binding transcription factor activity,3.051668551108621e-49,True,"""A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons."" [GOC:txnOH-2018]",1300,448,138,18134,0.3080357142857143,0.10615384615384615,query_1,['GO:0140110']
47,GO:BP,GO:0043170,macromolecule metabolic process,5.5816364816418454e-43,True,"""The chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."" [GOC:mah]",9774,432,373,17916,0.8634259259259259,0.03816247186412932,query_1,['GO:0071704']
48,GO:MF,GO:0140110,transcription regulator activity,3.884733315676367e-39,True,"""A molecular function that controls the rate, timing and/or magnitude of transcription of genetic information. The function of transcriptional regulators is to modulate gene expression at the transcription step so that they are expressed in the right cell at the right time and in the right amount throughout the life of the cell and the organism."" [GOC:pg, GOC:txnOH-2018, Wikipedia:Transcription_factor]",1718,448,144,18134,0.32142857142857145,0.08381839348079162,query_1,['GO:0003674']
49,GO:CC,GO:0043231,intracellular membrane-bounded organelle,3.9381981265623e-38,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",11085,452,394,18856,0.8716814159292036,0.035543527289129455,query_1,"['GO:0043227', 'GO:0043229']"
50,GO:CC,GO:0043229,intracellular organelle,6.101124365985896e-37,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",12870,452,422,18856,0.9336283185840708,0.03278943278943279,query_1,"['GO:0005622', 'GO:0043226']"
51,GO:CC,GO:0043227,membrane-bounded organelle,5.951720351524826e-36,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",12688,452,418,18856,0.9247787610619469,0.03294451450189155,query_1,['GO:0043226']
52,GO:BP,GO:0006807,nitrogen compound metabolic process,8.964253554732228e-34,True,"""The chemical reactions and pathways involving organic or inorganic compounds that contain nitrogen."" [GOC:jl, ISBN:0198506732]",10110,432,366,17916,0.8472222222222222,0.03620178041543027,query_1,['GO:0008152']
53,GO:CC,GO:0043226,organelle,5.315547066123127e-33,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",13825,452,431,18856,0.9535398230088495,0.031175406871609402,query_1,['GO:0110165']
54,GO:BP,GO:0050794,regulation of cellular process,5.719026292836645e-29,True,"""Any process that modulates the frequency, rate or extent of a cellular process, any of those that are carried out at the cellular level, but are not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators]",11382,432,382,17916,0.8842592592592593,0.03356176418907046,query_1,"['GO:0009987', 'GO:0050789']"
55,GO:BP,GO:0044238,primary metabolic process,1.4158603773075986e-28,True,"""The chemical reactions and pathways involving those compounds which are formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."" [GOC:go_curators, http://www.metacyc.org]",10599,432,367,17916,0.8495370370370371,0.03462590810453817,query_1,['GO:0008152']
56,GO:BP,GO:0065007,biological regulation,2.2376180777205595e-26,True,"""Any process that modulates a measurable attribute of any biological process, quality or function."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",12626,432,399,17916,0.9236111111111112,0.03160145731031205,query_1,['GO:0008150']
57,GO:BP,GO:0044237,cellular metabolic process,1.1025226289563377e-25,True,"""The chemical reactions and pathways by which individual cells transform chemical substances."" [GOC:go_curators]",10857,432,367,17916,0.8495370370370371,0.03380307635626784,query_1,"['GO:0008152', 'GO:0009987']"
58,GO:BP,GO:0071704,organic substance metabolic process,2.8073877924722418e-25,True,"""The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon."" [GOC:mah]",11268,432,374,17916,0.8657407407407407,0.03319133830315939,query_1,['GO:0008152']
59,GO:CC,GO:0005622,intracellular,6.95042479585653e-25,True,"""The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",14605,452,432,18856,0.9557522123893806,0.029578911331735708,query_1,['GO:0005575']
60,GO:MF,GO:0043565,sequence-specific DNA binding,2.3643701864878983e-23,True,"""Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding."" [GOC:jl]",1221,448,98,18134,0.21875,0.08026208026208026,query_1,['GO:0003677']
61,GO:BP,GO:0050789,regulation of biological process,4.09566451366725e-23,True,"""Any process that modulates the frequency, rate or extent of a biological process. Biological processes are regulated by many means; examples include the control of gene expression, protein modification or interaction with a protein or substrate molecule."" [GOC:ai, GOC:go_curators]",11969,432,383,17916,0.8865740740740741,0.03199933160665051,query_1,"['GO:0008150', 'GO:0065007']"
62,GO:BP,GO:0008152,metabolic process,1.5577061136791845e-20,True,"""The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]",11830,432,376,17916,0.8703703703703703,0.03178360101437024,query_1,['GO:0008150']
63,GO:MF,GO:0005488,binding,7.00037128407942e-20,True,"""The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."" [GOC:ceb, GOC:mah, ISBN:0198506732]",15960,448,446,18134,0.9955357142857143,0.02794486215538847,query_1,['GO:0003674']
64,GO:CC,GO:0000137,Golgi cis cisterna,2.1364655793970917e-14,True,"""The Golgi cisterna closest to the endoplasmic reticulum; the first processing compartment through which proteins pass after export from the ER."" [ISBN:0815316194]",25,452,14,18856,0.030973451327433628,0.56,query_1,['GO:0031985']
65,GO:CC,GO:0005801,cis-Golgi network,1.2175158857646887e-07,True,"""The network of interconnected tubular and cisternal structures located at the convex side of the Golgi apparatus, which abuts the endoplasmic reticulum."" [ISBN:0198506732, ISBN:0815316194]",65,452,14,18856,0.030973451327433628,0.2153846153846154,query_1,"['GO:0005794', 'GO:0043231']"
66,GO:CC,GO:0032580,Golgi cisterna membrane,5.72475769391448e-06,True,"""The lipid bilayer surrounding any of the thin, flattened compartments that form the central portion of the Golgi complex."" [GOC:ecd, GOC:mah]",86,452,14,18856,0.030973451327433628,0.16279069767441862,query_1,"['GO:0000139', 'GO:0031985']"
67,GO:CC,GO:0031985,Golgi cisterna,0.00013726251008424443,True,"""Any of the thin, flattened membrane-bounded compartments that form the central portion of the Golgi complex."" [GOC:mah]",110,452,14,18856,0.030973451327433628,0.12727272727272726,query_1,"['GO:0005795', 'GO:0098791']"
68,GO:BP,GO:0045892,"negative regulation of transcription, DNA-templated",0.00019372272229913913,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1268,432,62,17916,0.14351851851851852,0.04889589905362776,query_1,"['GO:0006351', 'GO:0006355', 'GO:0010629', 'GO:1903507', 'GO:2000113']"
69,GO:BP,GO:1903507,negative regulation of nucleic acid-templated transcription,0.000358295348062365,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of nucleic acid-templated transcription."" [GO_REF:0000058, GOC:pr, GOC:TermGenie, GOC:txnOH, GOC:vw]",1320,432,63,17916,0.14583333333333334,0.04772727272727273,query_1,"['GO:0097659', 'GO:1902679', 'GO:1903506']"
70,GO:BP,GO:1902679,negative regulation of RNA biosynthetic process,0.00037819037056749155,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of RNA biosynthetic process."" [GO:jl, GO_REF:0000058, GOC:TermGenie]",1322,432,63,17916,0.14583333333333334,0.047655068078668684,query_1,"['GO:0010558', 'GO:0031327', 'GO:0032774', 'GO:0051253', 'GO:2001141']"
71,GO:BP,GO:0051253,negative regulation of RNA metabolic process,0.000857362139519224,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1414,432,65,17916,0.15046296296296297,0.04596888260254597,query_1,"['GO:0010605', 'GO:0016070', 'GO:0045934', 'GO:0051252']"
72,GO:MF,GO:0000976,transcription regulatory region sequence-specific DNA binding,0.0009129086992196721,True,"""Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls transcription of that section of the DNA. The transcribed region might be described as a gene, cistron, or operon."" [GOC:txnOH]",888,448,46,18134,0.10267857142857142,0.0518018018018018,query_1,"['GO:0001067', 'GO:1990837']"
73,GO:MF,GO:0001067,regulatory region nucleic acid binding,0.000941111215631804,True,"""Interacting selectively and non-covalently with a nucleic acid region that regulates a nucleic acid-based process. Such processes include transcription, DNA replication, and DNA repair."" [GOC:txnOH]",889,448,46,18134,0.10267857142857142,0.05174353205849269,query_1,['GO:0003676']
74,GO:MF,GO:1990837,sequence-specific double-stranded DNA binding,0.003111272573064042,True,"""Interacting selectively and non-covalently with double-stranded DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA, e.g. promotor binding or rDNA binding."" [GOC:dos, GOC:sl]",930,448,46,18134,0.10267857142857142,0.04946236559139785,query_1,"['GO:0003690', 'GO:0043565']"
75,GO:CC,GO:0005795,Golgi stack,0.003508902208541128,True,"""The set of thin, flattened membrane-bounded compartments, called cisternae, that form the central portion of the Golgi complex. The stack usually comprises cis, medial, and trans cisternae; the cis- and trans-Golgi networks are not considered part of the stack."" [GOC:mah, ISBN:0815316194]",144,452,14,18856,0.030973451327433628,0.09722222222222222,query_1,['GO:0098791']
76,GO:BP,GO:0045934,negative regulation of nucleobase-containing compound metabolic process,0.004562675076977604,True,"""Any cellular process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving nucleobases, nucleosides, nucleotides and nucleic acids."" [GOC:go_curators]",1515,432,66,17916,0.1527777777777778,0.04356435643564356,query_1,"['GO:0006139', 'GO:0019219', 'GO:0031324', 'GO:0051172']"
77,GO:BP,GO:0007030,Golgi organization,0.00609818349075941,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the Golgi apparatus."" [GOC:dph, GOC:jl, GOC:mah]",145,432,15,17916,0.034722222222222224,0.10344827586206896,query_1,"['GO:0006996', 'GO:0010256']"
78,GO:MF,GO:0003690,double-stranded DNA binding,0.007608824478599961,True,"""Interacting selectively and non-covalently with double-stranded DNA."" [GOC:elh, GOC:vw]",1022,448,48,18134,0.10714285714285714,0.046966731898238745,query_1,['GO:0003677']
79,GO:BP,GO:0006357,regulation of transcription by RNA polymerase II,0.007666751160114143,True,"""Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."" [GOC:go_curators, GOC:txnOH]",2159,432,85,17916,0.19675925925925927,0.03937007874015748,query_1,"['GO:0006355', 'GO:0006366']"
80,GO:MF,GO:0000977,RNA polymerase II transcription regulatory region sequence-specific DNA binding,0.011158608064456196,True,"""Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II."" [GOC:txnOH]",832,448,41,18134,0.09151785714285714,0.04927884615384615,query_1,['GO:0000976']
81,GO:BP,GO:0006607,NLS-bearing protein import into nucleus,0.014533086974347404,True,"""The directed movement of a protein bearing a nuclear localization signal (NLS) from the cytoplasm into the nucleus, across the nuclear envelope."" [GOC:ai]",20,432,6,17916,0.013888888888888888,0.3,query_1,['GO:0006606']
82,GO:BP,GO:0006366,transcription by RNA polymerase II,0.019864949124831166,True,"""The synthesis of RNA from a DNA template by RNA polymerase II (RNAP II), originating at an RNA polymerase II promoter. Includes transcription of messenger RNA (mRNA) and certain small nuclear RNAs (snRNAs)."" [GOC:jl, GOC:txnOH, ISBN:0321000382]",2314,432,88,17916,0.2037037037037037,0.03802938634399308,query_1,['GO:0006351']
